"31";"Esclave";"45";"60";"30";"15";"10";"30";"20";"7";"15";"1";"00:08:50"
"11";"Gourdins";"95";"75";"40";"40";"40";"20";"5";"7";"60";"1";"00:12:00"
"41";"Mercenaire";"130";"80";"40";"40";"35";"40";"30";"6";"50";"1";"00:13:30"
"21";"Phalange";"100";"130";"55";"30";"15";"40";"50";"7";"35";"1";"00:17:20"
"12";"Lance";"145";"70";"85";"40";"10";"35";"60";"7";"40";"1";"00:18:40"
"14";"Eclaireur germain";"160";"100";"50";"50";"0";"10";"5";"9";"0";"1";"00:18:40"
"42";"Archer";"140";"110";"60";"60";"50";"30";"10";"6";"30";"1";"00:18:40"
"13";"Hache";"130";"120";"170";"70";"60";"30";"30";"6";"50";"1";"00:20:00"
"32";"sentinelle";"115";"100";"145";"60";"30";"55";"40";"6";"50";"1";"00:22:00"
"4";"Equipe Legati";"140";"160";"20";"40";"0";"20";"10";"16";"0";"2";"00:22:40"
"23";"Eclaireur gaulois";"170";"150";"20";"40";"0";"20";"10";"17";"0";"2";"00:22:40"
"34";"Explorateur de Sopdou";"170";"150";"20";"40";"0";"20";"10";"16";"0";"2";"00:22:40"
"43";"guetteur";"170";"150";"20";"40";"0";"20";"10";"19";"0";"2";"00:22:40"
"22";"Epee";"140";"150";"185";"60";"65";"35";"20";"6";"45";"1";"00:24:00"
"33";"Soldat Khopesh";"170";"180";"220";"80";"65";"50";"20";"7";"45";"1";"00:24:00"
"1";"Legionnaire";"120";"100";"150";"30";"40";"35";"50";"6";"50";"1";"00:26:40"
"2";"Pretorien";"100";"130";"160";"70";"30";"65";"35";"5";"20";"1";"00:29:20"
"3";"Imperian";"150";"160";"210";"80";"70";"40";"25";"7";"50";"1";"00:32:00"
"15";"Paladin";"370";"270";"290";"75";"55";"100";"40";"10";"110";"2";"00:40:00"
"44";"Cavalier des steppes";"290";"370";"190";"45";"120";"30";"15";"16";"75";"2";"00:40:00"
"24";"Toutatis";"350";"450";"230";"60";"90";"25";"40";"19";"75";"2";"00:41:20"
"45";"Archer monte";"320";"350";"330";"50";"115";"80";"70";"16";"105";"2";"00:41:20"
"25";"Druide";"360";"330";"280";"120";"45";"115";"55";"16";"35";"2";"00:42:40"
"35";"Garde Anhour";"360";"330";"280";"120";"50";"110";"50";"15";"50";"2";"00:42:40"
"5";"Equipe Imperatoris";"550";"440";"320";"100";"120";"65";"50";"14";"100";"3";"00:44:00"
"16";"Teutons";"450";"515";"480";"80";"150";"50";"75";"9";"80";"3";"00:49:20"
"46";"Maraudeur";"450";"560";"610";"140";"180";"60";"40";"14";"80";"3";"00:49:50"
"26";"Hedouin";"500";"620";"675";"170";"140";"60";"165";"13";"65";"3";"00:52:00"
"36";"Char de Reshep";"450";"560";"610";"180";"110";"120";"150";"10";"70";"3";"00:54:00"
"6";"Equipe Caesaris";"550";"640";"800";"180";"180";"80";"105";"10";"70";"4";"00:58:40"
"17";"belier germain";"1000";"300";"350";"70";"65";"30";"80";"4";"0";"3";"01:10:00"
"47";"Belier Huns";"1060";"330";"360";"70";"65";"30";"90";"4";"0";"3";"01:13:20"
"7";"Belier romain";"900";"360";"500";"70";"60";"30";"75";"4";"0";"3";"01:16:40"
"37";"belier egyptien";"995";"575";"340";"80";"55";"30";"95";"4";"0";"3";"01:20:00"
"27";"belier gaulois";"950";"555";"330";"75";"50";"30";"105";"4";"0";"3";"01:23:20"
"8";"Catapulte de feu";"950";"1350";"600";"90";"75";"60";"10";"3";"0";"6";"02:30:00"
"18";"catapulte germaine";"900";"1200";"600";"60";"50";"60";"10";"3";"0";"6";"02:30:00"
"28";"catapulte de guerre";"960";"1450";"630";"90";"70";"45";"10";"3";"0";"6";"02:30:00"
"38";"catapulte de pierre";"980";"1510";"660";"100";"65";"55";"10";"3";"0";"6";"02:30:00"
"48";"Catapulte huns";"950";"1280";"620";"60";"45";"55";"10";"3";"0";"6";"02:30:00"
"30";"colon gaulois";"4400";"5600";"4200";"3900";"0";"80";"80";"5";"3000";"1";"06:18:20"
"40";"Colon egyptien";"4560";"5890";"4370";"4180";"0";"80";"80";"5";"3000";"1";"06:53:20"
"10";"Colon romain";"4600";"4200";"5800";"4400";"0";"80";"80";"5";"3000";"1";"07:28:20"
"50";"Colon Huns";"6100";"4600";"4800";"5400";"10";"80";"80";"5";"3000";"1";"08:02:30"
"20";"colon germain";"5800";"4400";"4600";"5200";"10";"80";"80";"5";"3000";"1";"08:36:40"
"19";"chef de tribu";"35500";"26600";"25000";"27200";"40";"60";"40";"4";"0";"4";"19:35:00"
"9";"Senateur";"30750";"27200";"45000";"37500";"50";"40";"30";"4";"0";"5";"25:11:40"
"29";"chef ";"30750";"45400";"31000";"37500";"40";"50";"50";"5";"0";"4";"25:11:40"
"39";"Nomarque";"30750";"27200";"45000";"37500";"50";"40";"30";"4";"0";"5";"25:11:40"
"49";"Logades";"37200";"27600";"25200";"27600";"50";"40";"30";"5";"0";"4";"25:11:40"
